Percentage served,Time in ms
0,0.491
1,0.580
2,0.604
3,0.630
4,0.660
5,0.690
6,0.697
7,0.720
8,0.768
9,0.772
10,0.779
11,0.792
12,0.865
13,0.934
14,0.969
15,1.003
16,1.032
17,1.044
18,1.069
19,1.084
20,1.099
21,1.112
22,1.120
23,1.126
24,1.131
25,1.137
26,1.173
27,1.202
28,1.209
29,1.222
30,1.236
31,1.246
32,1.252
33,1.258
34,1.267
35,1.280
36,1.293
37,1.328
38,1.354
39,1.388
40,1.425
41,1.458
42,1.481
43,1.503
44,1.524
45,1.530
46,1.540
47,1.559
48,1.580
49,1.618
50,2.413
51,2.448
52,2.458
53,2.469
54,2.478
55,2.482
56,2.490
57,2.496
58,2.499
59,2.505
60,2.508
61,2.518
62,2.523
63,2.527
64,2.532
65,2.541
66,2.553
67,2.561
68,2.566
69,2.573
70,2.578
71,2.582
72,2.595
73,2.606
74,2.612
75,2.622
76,2.637
77,2.650
78,2.665
79,2.674
80,2.690
81,2.701
82,2.707
83,2.717
84,2.724
85,2.734
86,2.743
87,2.750
88,2.766
89,2.779
90,11.114
91,13.581
92,13.812
93,14.166
94,14.370
95,14.555
96,14.780
97,14.941
98,15.127
99,15.436
100,15.703
